full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift,host_type
AT2023zlx,10:4:41.4161,+1:11:51.76,18.519,not_center,,,2023-12-10 15:39:28.224,ATLAS23wyk,WISEA J100441.24+011155.4,,,151.172567,1.197711,cyan,151.17184,1.19871,0.070241,G
AT2023zly,9:41:15.85,-15:1846:18.528,18.688,center,,,2023-12-10 15:04:08.832,ATLAS23wym,WISEA J094115.70-154619.2,,,145.316041667,-15.7718133333,cyan,145.31581,-15.77165,--,UvS
AT2023zki,12:18:37.2823,-8:976:21.104,17.73,not_center,,,2023-12-10 11:25:26.400,ZTF23absqicj,WISEA J121836.84-081628.4,,,184.6553428,-8.2725288,g,184.65346,-8.27467,0.049287,G
AT2023zjm,5:22:30.0444,+5:34:15.19,18.21,center,,,2023-12-10 07:49:26.400,ZTF23absohlp,WISEA J052229.92+053416.2,,,80.6251851,5.570886,g,80.62475,5.57117,0.036529,G
AT2023zkz,3:16:35.9947,+46:30:15.029,17.93,not_center,,,2023-12-10 06:04:19.200,ZTF23absnimv,WISEA J031637.09+463037.4,,,49.149978,46.5041746,r,49.15458,46.5104,--,IrS
AT2023zjt,23:3:51.2573,+3:20:23.307,18.73,center,,,2023-12-10 03:07:12.000,"ZTF23absliqb, ATLAS23wyw",WISEA J230351.20+032025.2,,,345.9635719,3.3398074,g,345.96336,3.34034,--,IrS
AT2023zgx,12:44:5.0061,-5:640:53.533,16.9,not_center,,,2023-12-09 19:49:45.000,", ZTF23absjgta",WISEA J124404.66-054053.8,,,191.0208587,-5.6815369,Clear,191.01944,-5.68164,--,IrS
AT2023zka,15:16:6.3354,+7:49:18.678,18.38,not_center,,,2023-12-09 13:23:31.200,ZTF23absqtmm,WISEA J151606.24+074915.1,,,229.0263974,7.8218549,r,229.02625,7.82119,--,UvS
AT2023zkb,14:21:19.7634,-10:1203:18.8,17.5,not_center,,,2023-12-09 13:22:04.800,ZTF23absjlid,WISEA J142119.52-100315.4,,,215.3323477,-10.0552221,r,215.33127,-10.05435,0.044221,G
AT2023zkh,14:9:15.4837,+2:46:32.501,18.44,not_center,,,2023-12-09 13:06:14.400,ZTF23absjjax,WISEA J140915.48+024637.5,,,212.3145155,2.7756947,r,212.31451,2.77694,0.076729,G
AT2023zkg,14:50:46.6393,+10:24:31.29,18.27,center,,,2023-12-09 13:04:48.000,ZTF23absjire,WISEA J145046.62+102430.4,,,222.6943303,10.4086917,r,222.69415,10.40854,0.04267,G
AT2023zkf,15:0:17.0044,+14:56:12.004,17.58,center,,,2023-12-09 13:04:48.000,ZTF23absjity,WISEA J150016.95+145612.8,,,225.0708515,14.9366679,r,225.07062,14.93676,0.032998,G
AT2023zke,15:16:43.2926,+21:59:22.564,18.68,not_center,,,2023-12-09 13:04:48.000,ZTF23absjirl,WISEA J151644.78+215932.2,,,229.1803859,21.9896012,r,229.18661,21.99228,0.080849,G
AT2023zjy,11:24:0.2923,-13:1608:42.599,18.35,not_center,,,2023-12-09 12:07:12.000,ZTF23absjgok,WISEA J112400.25-134847.3,,,171.0012179,-13.811833,g,171.00113,-13.8125,0.068981,G
AT2023zkl,11:51:29.4905,-13:1585:23.128,18.59,center,,,2023-12-09 11:32:38.400,ZTF23absjeqz,WISEA J115129.48-132523.2,,,177.8728772,-13.4230912,r,177.87296,-13.42314,0.078718,G
AT2023zjz,11:8:52.7092,-6:740:38.941,17.46,not_center,,,2023-12-09 10:29:16.800,ZTF23absizez,LCRS B110620.4-060423,,,167.2196216,-6.3441502,g,167.21873,-6.34422,--,G
AT2023zjs,13:52:18.9499,+28:9:16.96,17.37,center,,,2023-12-07 07:46:33.600,Gaia23doc,WISEA J135218.90+280917.0,,,208.078958,28.154711,G,208.079,28.15475,0.335,*
AT2023zim,1:8:37.4154,-6:774:38.309,18.54,center,,,2023-12-07 05:38:24.000,ZTF23abrzbbr,WISEA J010837.53-065438.9,,,17.1558976,-6.9106413,g,17.15638,-6.91081,0.079478,G
SN2023zax,9:45:34.9172,+7:10:20.352,17.665,not_center,0.051,SN Ia,2023-12-06 13:43:28.704,"ATLAS23wur, ZTF23absdqly, PS23lpo",WISEA J094535.13+071018.9,,,146.395488525,7.17232000731,orange,146.39638,7.17194,--,IrS
AT2023zlm,20:57:57.988,+3:34:8.128,18.6452,center,,,2023-12-06 03:28:03.003,ZTF23abryqtx,WISEA J205757.91+033408.7,,,314.4916165,3.5689245,r,314.49133,3.5691,--,IrS
AT2023zlr,21:55:49.2017,+47:51:54.199,18.4878,center,,,2023-12-06 02:45:45.996,ZTF23abryggj,WISEA J215549.20+475154.4,,,328.95500689773945,47.86505517657263,g,328.95513,47.86508,0.078949,G
