full_name,tns_ra_hms,tns_dec_hms,ra,declination,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_hms,host_dec_hms,filter,host_ra,host_dec,host_redshift,host_type,name_link
AT2023aais,7:34:57.9401,-2:49:28.301,113.741417,-2.824528,15.66,not_center,,,2023-12-16 21:33:24.480,KATS23Y001,WISEA J073457.67-024919.1,7:34:57.7032,-2:49:19.164,Clear,113.74043,-2.82199,--,IrS,https://www.wis-tns.org/object/2023aais
AT2023aaif,12:30:55.2352,+3:29:30.054,187.730146667,3.49168166667,18.408,center,,,2023-12-16 14:44:23.424,ATLAS23xns,[EKL2017] ECO 2890,12:30:55.2,+3:29:30.84,orange,187.73,3.4919,0.017058,GGroup,https://www.wis-tns.org/object/2023aaif
AT2023aaiu,1:16:22.9699,+81:36:29.999,19.095708,81.608333,17.0,not_center,,,2023-12-15 13:21:06.912,MASTER OT J011622.97+813630.0,WISEA J011619.91+813648.2,1:16:19.9128,+81:36:48.204,Clear,19.08297,81.61339,--,IrS,https://www.wis-tns.org/object/2023aaiu
AT2023aaiv,0:38:57.42,+57:38:49.6,9.73925,57.647111,16.5,not_center,,,2023-12-15 10:29:50.496,MASTER OT J003857.42+573849.6,WISEA J003859.12+573856.7,0:38:59.1264,+57:38:56.724,Clear,9.74636,57.64909,--,IrS,https://www.wis-tns.org/object/2023aaiv
SN2023aaby,8:40:45.311,-4:7:1.243,130.1887957,-4.1170119,17.943,not_center,0.014,SN Ic,2023-12-14 12:58:19.200,"ATLAS23xjl, ZTF23abtjrbz",NGC 2642,8:40:44.3712,-4:7:18.192,cyan,130.18488,-4.12172,0.014473,G,https://www.wis-tns.org/object/2023aaby
AT2023aajs,10:4:13.1442,-9:40:50.608,151.0547673,-9.6807244,18.32,center,,,2023-12-12 10:36:28.800,ZTF23abvbgrk,WISEA J100413.11-094050.6,10:4:13.1088,-9:40:50.484,r,151.05462,-9.68069,0.054416,G,https://www.wis-tns.org/object/2023aajs
AT2023aaix,9:38:27.857,-8:46:41.496,144.6160708,-8.7781932,18.02,center,,,2023-12-12 10:35:02.400,ZTF23abtlndv,WISEA J093827.85-084641.6,9:38:27.8208,-8:46:41.196,r,144.61592,-8.77811,0.0633,G,https://www.wis-tns.org/object/2023aaix
AT2023zly,9:41:15.8511,-15:46:18.457,145.316046193,-15.7717937339,18.688,center,,,2023-12-10 15:04:08.832,"ATLAS23wym, ZTF23absirgq, PS23lxa",WISEA J094115.70-154619.2,9:41:15.7944,-15:46:17.94,cyan,145.31581,-15.77165,--,UvS,https://www.wis-tns.org/object/2023zly
AT2023aakc,7:14:15.1552,+7:12:58.8,108.5631466,7.2163333,18.05,not_center,,,2023-12-10 10:04:48.000,ZTF23abspbcs,2MASS J07141501+0712596,7:14:15.0096,+7:12:59.688,r,108.56254,7.21658,--,IrS,https://www.wis-tns.org/object/2023aakc
SN2023zpr,7:16:19.6739,+1:23:18.819,109.0819747,1.3885609,18.2387,not_center,0.055,SN Ia,2023-12-10 10:04:11.997,"ZTF23abscvxz, ATLAS23xeg, GOTO23bsk",WISEA J071619.80+012319.9,7:16:19.8072,+1:23:19.932,r,109.08253,1.38887,--,IrS,https://www.wis-tns.org/object/2023zpr
SN2023zjm,5:22:30.0444,+5:34:15.19,80.6251851,5.570886,18.21,not_center,0.036529,SN Ia,2023-12-10 07:49:26.400,"ZTF23absohlp, ATLAS23xim",WISEA J052229.92+053416.2,5:22:29.94,+5:34:16.212,g,80.62475,5.57117,0.036529,G,https://www.wis-tns.org/object/2023zjm
AT2023zyb,1:8:58.4001,+82:39:33.127,17.2433336,82.659202,15.09,not_center,,CV,2023-12-10 05:13:55.200,"ZTF23abscrpx, MASTER OT J010858.32+823933.3",WISEA J010854.43+823929.5,1:8:54.4368,+82:39:29.556,r,17.22682,82.65821,--,IrS,https://www.wis-tns.org/object/2023zyb
AT2023yoj,11:27:41.3299,-5:15:0.136,171.922207778,-5.25003777778,18.61,not_center,,,2023-11-28 06:05:48.192,"GOTO23bmh, ATLAS23xom",WISEA J112741.17-051457.9,11:27:41.16,-5:14:58.416,L,171.9215,-5.24956,0.03224,G,https://www.wis-tns.org/object/2023yoj
AT2023wcx,12:15:54.8406,+11:44:31.638,183.978502603,11.7421216225,18.62,not_center,,,2023-10-29 12:56:09.600,"ZTF23aboagnt, PS23lwu",WISEA J121554.37+114433.4,12:15:54.36,+11:44:33.468,r,183.9765,11.74263,0.130053,G,https://www.wis-tns.org/object/2023wcx
