full_name,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,ZTF_link
AT2023aaqw,11:1:0.3437,0:6:49.5,165.251432,-0.11375,2023-12-21 07:07:30.432,18.707,orange,not_center,,,ATLAS23xtk,WISEA J110100.52-000650.9,11:1:0.5856,0:6:51.372,165.25244,-0.11427,--,VisS,https://www.wis-tns.org/object/2023aaqw,
AT2023aarh,1:17:25.2182,-18:30:25.596,19.3550757143,-18.50711,2023-12-20 03:02:25.152,18.518,orange,not_center,,,ATLAS23xun,WISEA J011725.35-183022.9,1:17:25.3536,-18:30:22.968,19.35564,-18.50638,--,IrS,https://www.wis-tns.org/object/2023aarh,
AT2023aaqz,11:15:5.1,-13:39:15.34,168.77125,-13.654261,2023-12-19 14:32:38.400,18.64,G,center,,,Gaia23drs,WISEA J111505.09-133915.3,11:15:5.1696,-13:39:14.724,168.77154,-13.65409,--,UvS,https://www.wis-tns.org/object/2023aaqz,
AT2023aaph,5:12:25.5,+68:44:22.34,78.10625,68.739539,2023-12-17 20:39:50.400,18.73,G,center,,,Gaia23drk,WISEA J051225.48+684422.5,5:12:25.5384,+68:44:22.524,78.10641,68.73959,--,RadioS,https://www.wis-tns.org/object/2023aaph,
AT2023aapd,2:34:18.78,+61:34:50.66,38.57825,61.580739,2023-12-17 18:36:00.000,18.37,G,not_center,,,Gaia23dre,2MASS J02341822+6134572,2:34:18.2736,+61:34:57.108,38.57614,61.58253,--,IrS,https://www.wis-tns.org/object/2023aapd,
AT2023aapc,9:37:12.3199,+50:8:52.04,144.301333,50.147789,2023-12-17 13:29:16.800,17.06,G,center,,,Gaia23drd,WISEA J093712.32+500852.1,9:37:12.3264,+50:8:52.08,144.30136,50.1478,0.275418,QSO,https://www.wis-tns.org/object/2023aapc,
AT2023aapa,11:41:17.6299,0:12:50.4,175.323458,-0.214,2023-12-17 02:19:40.800,17.72,G,center,,,Gaia23dqx,LBQS 1138+0003,11:41:17.6376,0:12:50.328,175.32349,-0.21398,0.504432,QSO,https://www.wis-tns.org/object/2023aapa,
AT2023aaoz,1:22:57.1001,+45:41:2.288,20.737917,45.683969,2023-12-16 18:14:24.000,18.58,G,center,,,Gaia23dqw,WISEA J012257.09+454102.3,1:22:57.0936,+45:41:2.4,20.73789,45.684,--,IrS,https://www.wis-tns.org/object/2023aaoz,
AT2023aaox,1:41:59.5099,+49:47:20.98,25.497958,49.789161,2023-12-16 12:20:09.600,15.59,G,center,,,Gaia23dqt,2MASS J01415952+4947209,1:41:59.5224,+49:47:20.94,25.49801,49.78915,--,IrS,https://www.wis-tns.org/object/2023aaox,
AT2023zjy,11:24:0.2899,-13:48:42.412,171.001208,-13.811781,2023-12-09 12:07:12.000,18.35,g,not_center,,,"ZTF23absjgok, Gaia23dsa",WISEA J112400.25-134847.3,11:24:0.2712,-13:48:45.0,171.00113,-13.8125,0.068981,G,https://www.wis-tns.org/object/2023zjy,https://alerce.online/object/ZTF
SN2023zjz,11:8:52.71,-6:20:39.008,167.219625,-6.344169,2023-12-09 10:29:16.800,17.46,g,not_center,0.044,SN Ia-91T-like,"ZTF23absizez, ATLAS23xnw, Gaia23dry",LCRS B110620.4-060423,11:8:52.4952,-6:20:39.192,167.21873,-6.34422,--,G,https://www.wis-tns.org/object/2023zjz,https://alerce.online/object/ZTF
AT2023zoj,11:4:0.7099,+18:58:28.672,166.002958,18.974631,2023-12-08 13:59:33.792,18.642,orange,not_center,,,"ATLAS23xcr, PS23lzl, Gaia23drc",2MASX J11040042+1858293,11:4:0.4056,+18:58:28.884,166.00169,18.97469,0.066665,G,https://www.wis-tns.org/object/2023zoj,
SN2023yma,0:52:13.7201,+44:19:56.46,13.057167,44.33235,2023-11-25 09:01:03.072,17.399,orange,not_center,0.017772,SN Ia,"ATLAS23wft, ZTF23absaexv, Gaia23drg",UGC 00530,0:52:13.7808,+44:19:51.6,13.05742,44.331,0.017772,G,https://www.wis-tns.org/object/2023yma,https://alerce.online/object/ZTF
