full_name,values,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra_hms,host_dec_hms,host_ra,host_dec,host_redshift,host_type,TNS_link,Link
AT2024en,0,15:30:54.0696,+82:27:20.7,232.72529,82.45575,2024-01-03 13:55:12.000,16.8,g,not_center,,nan,ASASSN-24aa,IC 1143,15:30:55.956,+82:27:20.736,232.73315,82.45576,0.021615,G,https://www.wis-tns.org/object/2024en,
AT2024dz,0,15:23:30.0661,+20:26:30.548,230.875275556,20.4418188889,2024-01-02 15:15:01.152,18.271,orange,not_center,,nan,ATLAS24adb,MCG +04-36-041,15:23:29.988,+20:26:33.216,230.87495,20.44256,0.04216,G,https://www.wis-tns.org/object/2024dz,['https://fallingstar-data.com/forcedphot/']
AT2024ea,0,10:52:19.0152,+70:11:24.504,163.07923,70.19014,2024-01-02 13:55:39.648,18.744,orange,not_center,,nan,ATLAS24adc,WISEA J105217.99+701125.1,10:52:17.9784,+70:11:26.988,163.07491,70.19083,--,UvS,https://www.wis-tns.org/object/2024ea,['https://fallingstar-data.com/forcedphot/']
AT2024dy,0,10:46:45.0496,+29:54:33.96,161.687706667,29.9094333333,2024-01-02 12:14:31.776,18.602,orange,center,,nan,ATLAS24ada,SDSS J104645.01+295434.1,10:46:45.0144,+29:54:34.164,161.68756,29.90949,--,G,https://www.wis-tns.org/object/2024dy,['https://fallingstar-data.com/forcedphot/']
AT2024J,1,8:27:25.6384,+3:28:49.584,126.856826669,3.48043987262,2024-01-01 13:49:08.256,18.791,orange,center,,nan,"ATLAS24abj, PS24bd",WISEA J082725.68+032849.2,8:27:25.7232,+3:28:48.864,126.85718,3.48024,0.033537,G,https://www.wis-tns.org/object/2024J,['https://fallingstar-data.com/forcedphot/']
AT2024ed,0,20:36:22.6399,+22:24:47.2,309.094333,22.413111,2024-01-01 11:47:02.400,15.91,G,not_center,,nan,Gaia24abq,WISEA J203621.89+222443.5,20:36:21.8928,+22:24:43.56,309.09122,22.4121,--,IrS,https://www.wis-tns.org/object/2024ed,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24abq']
AT2024eh,0,20:12:1.2799,+32:1:3.292,303.005333,32.017581,2024-01-01 07:45:07.200,16.91,G,center,,nan,Gaia24abw,WISEA J201201.27+320103.2,20:12:1.2816,+32:1:3.36,303.00534,32.0176,--,IrS,https://www.wis-tns.org/object/2024eh,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24abw']
AT2024eb,0,19:20:7.2701,+47:3:48.02,290.030292,47.063339,2024-01-01 06:17:16.800,16.35,G,center,,nan,Gaia24abo,WISEA J192007.27+470348.1,19:20:7.272,+47:3:48.204,290.0303,47.06339,--,IrS,https://www.wis-tns.org/object/2024eb,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24abo']
AT2024ef,0,20:4:50.7401,+35:57:38.948,301.211417,35.960819,2024-01-01 01:49:26.400,18.74,G,center,,nan,Gaia24abu,WISEA J200450.76+355739.8,20:4:50.7864,+35:57:39.564,301.21161,35.96099,--,IrS,https://www.wis-tns.org/object/2024ef,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24abu']
AT2023acjp,0,9:32:5.22,+3:43:32.38,143.02175,3.725661,2023-12-31 16:13:26.400,13.64,G,center,,nan,Gaia24abn,2MASS J09320523+0343325,9:32:5.2488,+3:43:32.736,143.02187,3.72576,1.975,*,https://www.wis-tns.org/object/2023acjp,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24abn']
AT2023achj,1,8:36:7.4665,+25:6:47.063,129.031110467,25.11307318,2023-12-31 12:58:35.616,18.074,orange,center,,nan,"ATLAS23yci, ZTF24aaabbse, PS24bb",KUG 0833+252,8:36:7.4112,+25:6:45.684,129.03088,25.11269,0.0232,G,https://www.wis-tns.org/object/2023achj,"['https://alerce.online/object/ZTF24aaabbse', 'https://fallingstar-data.com/forcedphot/']"
