full_name,values,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,filter,location,redshift,type,internal_names,host_name,host_ra,host_dec,host_redshift,host_type,TNS_link,Link
AT2024jz,0,15:33:4.8419,-1:37:30.3,233.270174444,-1.62508333333,2024-01-05 15:23:29.184,17.728,orange,not_center,,nan,ATLAS24ahj,IC 1125,233.27339,-1.62824,0.00933,G,https://www.wis-tns.org/object/2024jz,['https://fallingstar-data.com/forcedphot/']
AT2024ka,1,12:4:9.7557,+1:49:33.87,181.04064875,1.826075,2024-01-05 14:06:06.048,17.767,orange,center,,nan,ATLAS24ahk,CGCG 013-056,181.0406,1.82596,0.01717,G,https://www.wis-tns.org/object/2024ka,['https://fallingstar-data.com/forcedphot/']
AT2024hw,0,10:46:52.3529,-1:23:27.475,161.718137,-1.3909654,2024-01-05 08:34:34.996,17.9378,i,center,,nan,ZTF24aaaibep,SDSS J104652.35-012328.0,161.71814,-1.39113,1.625,*,https://www.wis-tns.org/object/2024hw,['https://alerce.online/object/ZTF24aaaibep']
SN2024gy,1,12:15:51.3101,+13:6:56.1,183.963792,13.1155833,2024-01-04 16:16:12.000,16.3,Clear,not_center,0.001183,SN Ia,", ASASSN-24ac",SDSS J121551.28+130701.2,183.96369,13.11702,0.001183,G,https://www.wis-tns.org/object/2024gy,
AT2024jf,0,14:49:33.5976,-3:19:46.644,222.38999,-3.32962333333,2024-01-03 15:23:47.328,18.636,orange,not_center,,nan,ATLAS24agx,LCRS B144657.5-030723,222.39075,-3.32989,0.0836,G,https://www.wis-tns.org/object/2024jf,['https://fallingstar-data.com/forcedphot/']
AT2024is,0,9:51:25.7649,+15:54:36.679,147.85735375,15.91018875,2024-01-03 11:55:08.832,18.358,orange,not_center,,nan,ATLAS24afz,WISEA J095125.80+155445.2,147.85798,15.91265,--,G,https://www.wis-tns.org/object/2024is,['https://fallingstar-data.com/forcedphot/']
AT2024hu,0,19:54:34.7501,+30:21:40.072,298.644792,30.361131,2024-01-03 07:46:33.600,17.52,G,center,,nan,Gaia24acn,WISEA J195434.74+302140.3,298.64479,30.36115,--,IrS,https://www.wis-tns.org/object/2024hu,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acn']
AT2024hv,0,19:39:35.4799,+35:40:3.22,294.897833,35.667561,2024-01-02 19:53:45.600,16.98,G,not_center,,nan,Gaia24acr,WISEA J193934.94+354008.4,294.89559,35.66902,--,IrS,https://www.wis-tns.org/object/2024hv,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acr']
AT2024at,1,11:43:37.8887,+36:38:25.453,175.9078694,36.6404037,2024-01-02 12:50:49.056,18.437,orange,center,,nan,"ATLAS24act, ZTF21aaekvbn",WISEA J114337.90+363825.6,175.90794,36.64047,0.055255,G,https://www.wis-tns.org/object/2024at,"['https://alerce.online/object/ZTF21aaekvbn', 'https://fallingstar-data.com/forcedphot/']"
AT2024hp,0,20:1:42.7399,+31:9:40.748,300.428083,31.161319,2024-01-02 12:00:00.000,17.94,G,center,,nan,Gaia24acg,2MASS J20014275+3109408,300.42815,31.16135,--,IrS,https://www.wis-tns.org/object/2024hp,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acg']
AT2024as,0,10:5:6.3199,+17:29:21.052,151.276333,17.489181,2024-01-02 08:20:53.376,18.371,orange,center,,nan,"ATLAS24acr, Gaia24acj",WISEA J100506.31+172921.1,151.27632,17.48918,--,G,https://www.wis-tns.org/object/2024as,"['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acj', 'https://fallingstar-data.com/forcedphot/']"
AT2024hr,0,19:59:7.17,+33:41:20.152,299.779875,33.688931,2024-01-02 00:01:26.400,14.15,G,center,,nan,Gaia24aci,WISEA J195907.19+334120.4,299.77992,33.68896,--,IrS,https://www.wis-tns.org/object/2024hr,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aci']
AT2024hs,0,8:52:23.5999,-15:1:37.808,133.098333,-15.027169,2024-01-01 16:35:02.400,18.73,G,center,,nan,Gaia24acl,WISEA J085223.55-150137.8,133.09816,-15.02718,--,IrS,https://www.wis-tns.org/object/2024hs,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acl']
SN2024J,1,8:27:25.6384,+3:28:49.584,126.856826669,3.48043987262,2024-01-01 13:49:08.256,18.791,orange,center,0.0335,SN,"ATLAS24abj, PS24bd",WISEA J082725.68+032849.2,126.85718,3.48024,0.033537,G,https://www.wis-tns.org/object/2024J,['https://fallingstar-data.com/forcedphot/']
SN2023acha,0,16:44:51.8178,+52:46:1.47,251.2159073,52.7670749,2023-12-31 15:18:01.728,16.713,orange,not_center,0.034,SN Ia,"ATLAS23ych, ZTF23abvryfw",WISEA J164452.29+524601.0,251.21791,52.76695,--,IrS,https://www.wis-tns.org/object/2023acha,"['https://alerce.online/object/ZTF23abvryfw', 'https://fallingstar-data.com/forcedphot/']"
AT2023ackf,0,15:23:26.3104,-19:59:18.252,230.8596265,-19.9884034,2023-12-28 13:16:19.200,18.62,r,not_center,,nan,ZTF23abvsebn,2MASX J15232627-1959114,230.8595,-19.98653,0.053824,G,https://www.wis-tns.org/object/2023ackf,['https://alerce.online/object/ZTF23abvsebn']
SN2023abim,0,11:49:12.6799,+43:7:28.88,177.302833,43.124689,2023-12-25 13:03:44.928,17.72,orange,center,0.01,SN II,"ATLAS23xvy, ZTF23abvgvab, PS23nlt, Gaia24acu",SDSS J114912.60+430728.5,177.30253,43.12459,--,G,https://www.wis-tns.org/object/2023abim,"['https://alerce.online/object/ZTF23abvgvab', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acu', 'https://fallingstar-data.com/forcedphot/']"
AT2023abjm,1,11:27:46.2401,+40:30:18.112,171.942667,40.505031,2023-12-24 11:58:29.280,18.359,orange,center,,nan,"ATLAS23xwg, Gaia24ack",WISEA J112746.15+403018.5,171.94232,40.50513,0.060538,G,https://www.wis-tns.org/object/2023abjm,"['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24ack', 'https://fallingstar-data.com/forcedphot/']"
AT2023abdk,0,9:24:56.8227,+40:23:57.513,141.2367613,40.3993092,2023-12-24 10:53:53.376,18.153,orange,not_center,,nan,"ATLAS23xvd, ZTF23abvzubc",KUG 0921+406,141.23603,40.39957,0.027787,G,https://www.wis-tns.org/object/2023abdk,"['https://alerce.online/object/ZTF23abvzubc', 'https://fallingstar-data.com/forcedphot/']"
AT2023aama,1,11:6:41.5952,+6:40:1.783,166.6733135,6.667162,2023-12-18 13:24:44.640,18.2,cyan,center,,nan,"ATLAS23xru, ZTF23abtuejg",WISEA J110641.54+064001.2,166.6731,6.66698,0.060944,G,https://www.wis-tns.org/object/2023aama,"['https://alerce.online/object/ZTF23abtuejg', 'https://fallingstar-data.com/forcedphot/']"
SN2023zmd,0,13:57:46.8636,+21:0:16.609,209.4452649,21.0046137,2023-12-09 14:34:23.808,18.671,cyan,not_center,0.076,SN Ia,"ATLAS23wyz, ZTF23absjgwn",SDSS J135746.90+210018.9,209.44545,21.00527,--,G,https://www.wis-tns.org/object/2023zmd,"['https://alerce.online/object/ZTF23absjgwn', 'https://fallingstar-data.com/forcedphot/']"
SN2023znx,0,14:18:33.4901,+55:8:39.88,214.639542,55.144411,2023-12-09 12:18:02.592,18.5637,g,not_center,0.0299,SN IIP,"ZTF23absjgww, ATLAS23xmi, Gaia24acs",WISEA J141833.50+550851.2,214.63933,55.14753,0.030012,G,https://www.wis-tns.org/object/2023znx,"['https://alerce.online/object/ZTF23absjgww', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acs', 'https://fallingstar-data.com/forcedphot/']"
