full_name,values,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,location,redshift,type,internal_names,host_name,host_ra,host_dec,host_redshift,host_type,TNS_link,Link
AT2024ox,0,17:2:12.9066,+56:11:48.083,255.5537776,56.19668970000001,2024-01-06 13:18:23.996,17.9174,ALeRCE,g,非中心,,nan,ZTF24aaartcf,MCG +09-28-017,255.55517,56.19558,--,G,https://www.wis-tns.org/object/2024ox,['https://alerce.online/object/ZTF24aaartcf']
AT2024nq,0,15:3:18.883,+67:37:3.144,225.8286791,67.61754,2024-01-06 11:21:07.200,18.64,ZTF,r,非中心,,nan,ZTF24aaarpfp,WISEA J150318.40+673700.3,225.82649,67.61685,--,UvS,https://www.wis-tns.org/object/2024nq,['https://alerce.online/object/ZTF24aaarpfp']
AT2024pc,0,13:9:44.0664,+49:55:7.229,197.4336099,49.9186747,2024-01-06 10:29:31.004,18.6136,ALeRCE,g,非中心,,nan,ZTF24aaarlwx,SDSS J130944.13+495509.1,197.4339,49.91922,0.047749,G,https://www.wis-tns.org/object/2024pc,['https://alerce.online/object/ZTF24aaarlwx']
AT2024lm,0,2:54:43.95,+44:8:25.501,43.683125,44.140417,2024-01-05 16:28:51.744,17.49,XOSS,Clear,非中心,,nan,KATS24A002,WISEA J025446.24+440831.1,43.69265,44.14199,--,IrS,https://www.wis-tns.org/object/2024lm,
AT2024jz,1,15:33:4.8423,-1:37:30.637,233.2701762,-1.6251769,2024-01-05 15:23:29.184,17.728,ATLAS,orange,非中心,,nan,"ATLAS24ahj, ZTF24aaarwvd",IC 1125,233.27339,-1.62824,0.00933,G,https://www.wis-tns.org/object/2024jz,"['https://alerce.online/object/ZTF24aaarwvd', 'https://fallingstar-data.com/forcedphot/']"
AT2024lf,0,12:9:37.7247,-8:27:54.428,182.4071863,-8.4651189,2024-01-05 11:07:21.000,18.5688,ALeRCE,r,非中心,,nan,"ZTF23abvsckl, ATLAS24ahy",WISEA J120937.72-082755.8,182.40671,-8.46537,--,UvS,https://www.wis-tns.org/object/2024lf,"['https://alerce.online/object/ZTF23abvsckl', 'https://fallingstar-data.com/forcedphot/']"
AT2024ko,0,11:16:19.3699,+11:17:24.045,169.0807078,11.290012499999998,2024-01-05 09:17:14.001,18.7726,ALeRCE,g,中心,,nan,ZTF24aaaintg,WISEA J111619.28+111723.6,169.08039,11.28992,0.078972,G,https://www.wis-tns.org/object/2024ko,['https://alerce.online/object/ZTF24aaaintg']
AT2024hw,0,10:46:52.357,-1:23:27.415,161.71815396048032,-1.3909486700872726,2024-01-05 08:34:34.996,17.9378,ZTF,i,中心,,nan,ZTF24aaaibep,SDSS J104652.35-012328.0,161.71814,-1.39113,1.625,*,https://www.wis-tns.org/object/2024hw,['https://alerce.online/object/ZTF24aaaibep']
AT2024kf,0,2:11:43.457,-7:19:45.444,32.9310708,-7.3292901,2024-01-05 07:15:23.904,18.223,ATLAS,orange,非中心,,nan,"ATLAS24ahl, ZTF24aaadtbj",WISEA J021142.54-071947.5,32.92729,-7.32988,--,IrS,https://www.wis-tns.org/object/2024kf,"['https://alerce.online/object/ZTF24aaadtbj', 'https://fallingstar-data.com/forcedphot/']"
AT2024ll,0,5:10:31.9601,+23:36:55.699,77.633167,23.615472,2024-01-04 18:08:13.344,16.65,XOSS,Clear,非中心,,nan,KATS24A001,WISEA J051031.87+233659.5,77.63282,23.61654,--,IrS,https://www.wis-tns.org/object/2024ll,
AT2024mq,1,10:18:37.74,+12:10:45.052,154.65725,12.179181,2024-01-04 08:16:47.000,17.11,GaiaAlerts,G,中心,,nan,Gaia24adf,WISEA J101837.75+121044.8,154.65728,12.17914,0.036343,G,https://www.wis-tns.org/object/2024mq,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24adf']
AT2024mw,0,19:50:18.7999,+29:18:6.26,297.578333,29.301739,2024-01-04 06:01:26.400,17.03,GaiaAlerts,G,非中心,,nan,Gaia24adl,2MASS J19501912+2918098,297.57968,29.30275,--,IrS,https://www.wis-tns.org/object/2024mw,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24adl']
AT2024mu,0,18:2:22.44,+45:52:44.62,270.5935,45.879061,2024-01-04 02:16:48.000,15.35,GaiaAlerts,G,中心,,nan,Gaia24adj,WISEA J180222.42+455244.3,270.59377,45.87904,--,UvS,https://www.wis-tns.org/object/2024mu,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24adj']
AT2024ml,0,20:2:25.3699,+27:6:40.82,300.605708,27.111339,2024-01-03 23:57:07.200,17.98,GaiaAlerts,G,中心,,nan,Gaia24acv,2MASS J20022536+2706409,300.60567,27.11138,--,IrS,https://www.wis-tns.org/object/2024ml,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acv']
AT2024nn,0,9:11:37.2799,-12:29:31.499,137.905333,-12.492083,2024-01-03 20:52:07.392,16.92,XOSS,Clear,非中心,,nan,KATS24A003,WISEA J091137.50-122944.4,137.90667,-12.49565,--,UvS,https://www.wis-tns.org/object/2024nn,
AT2024mm,0,10:45:49.5799,+22:16:43.432,161.456583,22.278731,2024-01-03 20:03:50.400,18.69,GaiaAlerts,G,中心,,nan,Gaia24acw,WISEA J104549.57+221643.3,161.45658,22.27874,1.063042,*,https://www.wis-tns.org/object/2024mm,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acw']
AT2024mv,0,12:2:57.0701,+38:51:47.632,180.737792,38.863231,2024-01-03 19:39:21.600,18.02,GaiaAlerts,G,中心,,nan,Gaia24adk,WISEA J120257.06+385147.7,180.73792,38.86332,3.149833,QSO,https://www.wis-tns.org/object/2024mv,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24adk']
