full_name,values,tns_ra_hms,tns_dec_hms,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,location,ang_diff,Abs_Mag,Mag_distance(Mpc),center_distance(pc),redshift,type,internal_names,host_name,host_redshift,host_type,TNS_link,Link
AT2024tx,1,4:29:19.3275,+32:16:21.742,67.33053125,32.27270625,2024-01-08 09:06:27.936,18.744,ATLAS,orange,中心,1.6445077633126803,,,,,nan,ATLAS24aok,WISEA J042919.44+321622.3,0.04465,G,https://www.wis-tns.org/object/2024tx,['https://fallingstar-data.com/forcedphot/']
AT2024sf,0,23:34:31.1022,-13:19:29.035,353.6295926,-13.324732,2024-01-07 02:48:28.800,18.09,ZTF,r,中心,1.0077133815703458,,,,,nan,ZTF24aaasrid,WISEA J233431.17-131929.1,--,G,https://www.wis-tns.org/object/2024sf,['https://alerce.online/object/ZTF24aaasrid']
AT2024qz,0,17:28:55.05,+42:45:56.38,262.229375,42.765661,2024-01-05 18:36:00.000,17.94,GaiaAlerts,G,非中心,4.23009089199774,,,,,nan,Gaia24aea,WISEA J172854.97+424600.4,--,IrS,https://www.wis-tns.org/object/2024qz,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aea']
SN2024jz,1,15:33:4.8423,-1:37:30.637,233.2701762,-1.6251769,2024-01-05 15:23:29.184,17.728,ATLAS,orange,非中心,15.979608351256013,-15.176547447018535,38.09864143694003,2951.5523270989693,0.0093,SN Ia,"ATLAS24ahj, ZTF24aaarwvd",IC 1125,0.00933,G,https://www.wis-tns.org/object/2024jz,"['https://alerce.online/object/ZTF24aaarwvd', 'https://fallingstar-data.com/forcedphot/']"
AT2024re,0,18:57:54.66,+34:46:24.74,284.47775,34.773539,2024-01-05 14:00:57.600,16.21,GaiaAlerts,G,中心,0.12264065759551057,,,,,nan,Gaia24aeg,WISEA J185754.59+344625.9,--,IrS,https://www.wis-tns.org/object/2024re,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aeg']
AT2024qu,0,19:51:46.59,+27:50:30.12,297.944125,27.8417,2024-01-04 19:46:33.600,15.86,GaiaAlerts,G,中心,0.2116911990874383,,,,,nan,Gaia24adv,WISEA J195146.58+275030.0,--,IrS,https://www.wis-tns.org/object/2024qu,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24adv']
SN2024mq,1,10:18:37.74,+12:10:45.052,154.65725,12.179181,2024-01-04 08:16:47.000,17.11,GaiaAlerts,G,中心,0.18146795377611596,-18.757887689687706,149.134299263183,131.20559254642944,0.036,SN Ia,"Gaia24adf, ATLAS23yaz",WISEA J101837.75+121044.8,0.036343,G,https://www.wis-tns.org/object/2024mq,"['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24adf', 'https://fallingstar-data.com/forcedphot/']"
SN2024ea,0,10:52:18.9608,+70:11:24.705,163.0790034,70.1901957,2024-01-02 13:55:39.648,18.744,ATLAS,orange,非中心,5.491311947100105,-18.896787058071112,337.40958182823294,8982.730992604846,0.08,SN Ia,"ATLAS24adc, ZTF23abvzipb",WISEA J105217.99+701125.1,--,UvS,https://www.wis-tns.org/object/2024ea,"['https://alerce.online/object/ZTF23abvzipb', 'https://fallingstar-data.com/forcedphot/']"
SN2024dy,0,10:46:45.03,+29:54:33.8,161.687625,29.909389,2024-01-02 12:14:31.776,18.602,ATLAS,orange,中心,0.41634942379276146,-16.123245345260752,88.11484245273209,177.86148083273127,0.0214,SN IIn,"ATLAS24ada, Gaia24acc, ZTF24aaabljq",SDSS J104645.01+295434.1,--,G,https://www.wis-tns.org/object/2024dy,"['https://alerce.online/object/ZTF24aaabljq', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acc', 'https://fallingstar-data.com/forcedphot/']"
SN2023acci,0,5:7:32.0782,-19:22:50.421,76.8836591558,-19.3806725353,2023-12-29 05:04:40.002,19.1651,ALeRCE,r,非中心,4.496292363575114,-17.428653391847643,208.32945531009776,4541.298906302111,0.05,SN Ia,"ZTF23abvoynt, PS24du, ATLAS23ycj",WISEA J050732.24-192250.9,0.074279,G,https://www.wis-tns.org/object/2023acci,"['https://alerce.online/object/ZTF23abvoynt', 'https://fallingstar-data.com/forcedphot/']"
SN2023acfg,0,10:56:37.6288,+9:41:26.111,164.1567865,9.6905864,2023-12-28 11:24:52.704,18.044,ATLAS,orange,中心,0.5948568238822065,-18.879146827793218,242.4540067375186,699.2245696661386,0.058,SN Ia,"ATLAS23yag, ZTF24aaaidva",SDSS J105637.66+094125.8,--,G,https://www.wis-tns.org/object/2023acfg,"['https://alerce.online/object/ZTF24aaaidva', 'https://fallingstar-data.com/forcedphot/']"
SN2023aakj,0,13:0:29.1368,+28:27:19.755,195.121403196,28.4554875975,2023-12-17 13:57:18.144,19.127,ATLAS,orange,非中心,3.0059996667434756,-15.849593231769344,98.92786724378428,1441.7250396570964,0.024,SN Ia,"ATLAS23xpa, PS23mny, ZTF23abvvkcc",WISEA J130029.35+282720.8,0.024117,G,https://www.wis-tns.org/object/2023aakj,"['https://alerce.online/object/ZTF23abvvkcc', 'https://fallingstar-data.com/forcedphot/']"
SN2023zut,1,8:9:32.8949,+11:11:52.081,122.38706205385,11.197800261538,2023-12-11 09:34:33.600,19.29,ZTF,g,中心,1.637059377347253,-17.403458172433396,218.1180641109332,1731.1349847723195,0.0523,SN Ia,ZTF23absouua,WISEA J080932.95+111150.7,0.052326,G,https://www.wis-tns.org/object/2023zut,['https://alerce.online/object/ZTF23absouua']
SN2023zmb,0,12:39:32.95,+24:49:51.959,189.8872917,24.8310996,2023-12-09 14:44:13.920,19.115,ATLAS,cyan,中心,1.2634307873969597,-18.525787058071113,337.40958182823294,2066.7299545703486,0.08,SN Ia,"ATLAS23wyx, ZTF23absqlwb",SDSS J123932.94+244953.2,--,G,https://www.wis-tns.org/object/2023zmb,"['https://alerce.online/object/ZTF23absqlwb', 'https://fallingstar-data.com/forcedphot/']"
SN2023zqy,1,11:15:21.8201,+31:31:24.668,168.840917,31.523519,2023-12-06 14:33:30.240,18.744,ATLAS,orange,中心,0.46298629497825106,-16.474748210064185,110.59860317754264,248.25193617178755,0.0268,SN II,"ATLAS23xdz, Gaia23dqq, PS24gj",WISEA J111521.83+313124.8,0.026807,G,https://www.wis-tns.org/object/2023zqy,"['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia23dqq', 'https://fallingstar-data.com/forcedphot/']"
