full_name,values,tns_ra_hms,tns_dec_hms,last_mag,last_date,location,tns_ra,tns_dec,discoverydate,discovery_mag,reporting_group,filter,ang_diff,Abs_Mag,Mag_distance(Mpc),center_distance(pc),redshift,type,internal_names,host_name,host_redshift,host_type,TNS_link,Link
AT2024uy,0,23:31:41.4401,-13:42:3.308,17.57,2024-01-07 22:56:38,中心,352.922667,-13.700919,2024-01-07 22:56:38.400,17.57,GaiaAlerts,G,0.5225120996580895,,,,,nan,Gaia24aen,WISEA J233141.42-134203.3,--,G,https://www.wis-tns.org/object/2024uy,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aen']
AT2024um,0,19:19:19.98,+29:19:56.64,17.96,2024-01-07 00:08:38,非中心,289.83325,29.3324,2024-01-07 00:08:38.400,17.96,GaiaAlerts,G,12.316548504070363,,,,,nan,Gaia24aej,WISEA J191920.88+291953.6,--,IrS,https://www.wis-tns.org/object/2024um,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aej']
AT2024ul,0,19:2:60.0,+31:49:7.72,18.43,2024-01-06 18:12:58,中心,285.75,31.818811,2024-01-06 18:12:57.600,18.43,GaiaAlerts,G,0.1529918970886212,,,,,nan,Gaia24aei,WISEA J190300.01+314907.7,--,IrS,https://www.wis-tns.org/object/2024ul,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aei']
AT2024un,0,19:51:16.0999,+25:14:9.712,15.46,2024-01-06 18:00:00,中心,297.817083,25.236031,2024-01-06 18:00:00.000,15.46,GaiaAlerts,G,0.3205489010467974,,,,,nan,Gaia24ael,2MASS J19511609+2514100,--,IrS,https://www.wis-tns.org/object/2024un,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24ael']
SN2024ka,1,12:4:9.7557,+1:49:33.87,17.97,2024-01-05 06:44:42,中心,181.04064875,1.826075,2024-01-05 14:06:06.048,17.767,ATLAS,orange,0.44962759793639695,-16.454416278274085,69.86879539323924,152.30392045523277,0.017,SN Ib,"ATLAS24ahk, BGEM J120409.76+014933.6",CGCG 013-056,0.01717,G,https://www.wis-tns.org/object/2024ka,['https://fallingstar-data.com/forcedphot/']
AT2024ux,0,22:41:26.3851,-1:34:26.518,18.55,2024-01-05 03:50:24,非中心,340.3599379,-1.5740329,2024-01-05 03:50:24.000,18.55,ZTF,r,9.081312102333778,,,,,nan,ZTF24aaaelrs,WISEA J224126.97-013424.1,0.058961,G,https://www.wis-tns.org/object/2024ux,['https://alerce.online/object/ZTF24aaaelrs']
AT2024nn,0,9:11:37.26,-12:29:31.88,17.49,2024-01-07 22:36:29,非中心,137.90525,-12.492189,2024-01-03 20:52:07.392,16.92,XOSS,Clear,13.42203933821113,,,,,nan,"KATS24A003, Gaia24aer",WISEA J091137.50-122944.4,--,UvS,https://www.wis-tns.org/object/2024nn,['http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aer']
AT2024dt,0,16:57:48.72,+36:49:38.06,18.33,2024-01-07 20:28:19,中心,254.453,36.827239,2024-01-02 13:14:19.000,17.9303,ALeRCE,r,0.31862842320326895,,,,,nan,"ZTF23abvsdjk, Gaia24aev",SDSS J165748.69+364938.0,--,G,https://www.wis-tns.org/object/2024dt,"['https://alerce.online/object/ZTF23abvsdjk', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aev']"
SN2024oe,0,16:28:1.2173,+64:52:33.04,18.64,2024-01-06 13:16:19,非中心,247.0050719,64.8758445,2024-01-02 12:33:07.200,18.68,ZTF,r,5.041475181794045,-18.845912548545236,320.0239709111165,7821.949542835718,0.076,SN Ia,ZTF24aaadhwf,WISEA J162801.64+645236.5,0.066663,G,https://www.wis-tns.org/object/2024oe,['https://alerce.online/object/ZTF24aaadhwf']
SN2024dy,0,10:46:45.03,+29:54:33.8,17.22,2024-01-05 12:34:34,中心,161.687625,29.909389,2024-01-02 12:14:31.776,18.602,ATLAS,orange,0.41634942379276146,-16.081909400973945,86.45336068702066,174.50774837404205,0.021,SN IIn,"ATLAS24ada, Gaia24acc, ZTF24aaabljq",SDSS J104645.01+295434.1,--,G,https://www.wis-tns.org/object/2024dy,"['https://alerce.online/object/ZTF24aaabljq', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24acc', 'https://fallingstar-data.com/forcedphot/']"
AT2024Z,0,15:43:35.0299,+36:58:28.38,18.74,2024-01-07 20:44:10,非中心,235.895958,36.97455,2024-01-02 11:31:12.000,18.79,ZTF,g,5.8706187880676275,,,,,nan,"ZTF24aaadedk, Gaia24aet",WISEA J154335.40+365824.8,--,G,https://www.wis-tns.org/object/2024Z,"['https://alerce.online/object/ZTF24aaadedk', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aet']"
SN2024ma,0,0:33:19.3616,+22:2:16.038,19.43,2024-01-05 07:10:19,中心,8.3306734,22.0377883,2024-01-02 03:14:24.000,20.07,ZTF,r,1.0615584509274834,-17.598633833898,341.76435629721334,1758.9178069402494,0.081,SN Ia,"ZTF24aaammxh, ATLAS24aja",WISEA J003319.32+220215.9,--,UvS,https://www.wis-tns.org/object/2024ma,"['https://alerce.online/object/ZTF24aaammxh', 'https://fallingstar-data.com/forcedphot/']"
SN2024F,0,1:14:15.8853,+2:20:21.378,17.9,2024-01-06 05:45:36,中心,18.5661886,2.3392717,2024-01-01 07:17:34.368,18.478,ATLAS,orange,1.872528101343661,-18.11575339184764,208.32945531009776,1891.2715479850212,0.05,SN Ia,"ATLAS24abf, ZTF24aaamktr",WISEA J011416.00+022021.3,--,G,https://www.wis-tns.org/object/2024F,"['https://alerce.online/object/ZTF24aaamktr', 'https://fallingstar-data.com/forcedphot/']"
AT2023aclc,0,4:25:17.5818,-12:33:32.017,18.7962,2023-12-30 02:37:18,中心,66.3232575,-12.5588936,2023-12-30 02:37:18.336,18.7962,ZTF,r,0.6806882077362048,,,,,nan,ZTF24aabdxil,WISEA J042517.66-123331.8,0.07951,G,https://www.wis-tns.org/object/2023aclc,['https://alerce.online/object/ZTF24aabdxil']
SN2023acga,0,7:7:43.5968,+48:20:13.589,17.66,2024-01-02 10:39:57,非中心,106.93165348,48.3371080655,2023-12-29 14:01:11.424,18.455,ATLAS,orange,4.0120329633011576,-18.093993012477966,204.07913390494525,3969.519702589191,0.049,SN Ia,"ATLAS23ybq, ZTF23abvpeqs, PS24bg",WISEA J070743.68+482009.1,--,UvS,https://www.wis-tns.org/object/2023acga,"['https://alerce.online/object/ZTF23abvpeqs', 'https://fallingstar-data.com/forcedphot/']"
SN2023acfg,0,10:56:37.6099,+9:41:26.02,18.1,2024-01-07 08:13:55,中心,164.156708,9.690561,2023-12-28 11:24:52.704,18.044,ATLAS,orange,0.8364091473213779,-18.879146827793218,242.4540067375186,983.157295370326,0.058,SN Ia,"ATLAS23yag, ZTF24aaaidva, Gaia24aeu",SDSS J105637.66+094125.8,--,G,https://www.wis-tns.org/object/2023acfg,"['https://alerce.online/object/ZTF24aaaidva', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24aeu', 'https://fallingstar-data.com/forcedphot/']"
SN2023ackl,0,0:41:37.6512,0:19:51.684,18.532,2024-01-03 06:43:15,中心,10.40688,-0.3310232,2023-12-27 04:16:19.200,18.06,ZTF,g,1.9352248172704165,-19.845238670457352,381.1077093290158,3575.6419651303167,0.09,SN Ia,"ZTF23abvnhyf, ATLAS23xwa",2MASX J00413767-0019504,0.066653,G,https://www.wis-tns.org/object/2023ackl,"['https://alerce.online/object/ZTF23abvnhyf', 'https://fallingstar-data.com/forcedphot/']"
SN2023ablu,0,11:21:12.9799,+49:19:8.26,99.0,2024-01-05 12:17:17,非中心,170.304083,49.318961,2023-12-25 14:34:46.272,19.24,Pan-STARRS,i,3.62126857444761,-19.462553832726098,550.1875599790143,9659.315892296394,0.128,SN II,"PS23mvx, ATLAS23yaq, Gaia24abt, ZTF23abvrjdu",WISEA J112112.88+491904.7,--,G,https://www.wis-tns.org/object/2023ablu,"['https://alerce.online/object/ZTF23abvrjdu', 'http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia24abt', 'https://fallingstar-data.com/forcedphot/']"
SN2023xob,0,1:44:47.0469,+16:1:4.752,19.182,2023-12-10 08:12:49,中心,26.1960289,16.0179866,2023-11-12 05:09:36.000,20.03,ZTF,r,0.7696401264997067,-18.22289401565272,447.2793036643026,1668.9424924992047,0.105,SN IIn,"ZTF23abqimmw, ATLAS23xar",WISEA J014447.09+160104.5,--,UvS,https://www.wis-tns.org/object/2023xob,"['https://alerce.online/object/ZTF23abqimmw', 'https://fallingstar-data.com/forcedphot/']"
