full_name,tns_ra_hms,tns_dec_hms,discoverymag,location,redshift,type,discoverydate,internal_names,host_name,host_ra_rms,host_dec_rms,ra,declination,filter,host_ra,host_dec,host_redshift
AT2023yip,11:8:46.8548,+29:7:16.156,18.477,center,,,2023-11-23 14:08:44.160,ATLAS23wee,WISEA J110846.82+290716.0,,,167.195228182,29.1211545455,cyan,167.19508,29.12112,0.077674
AT2023yjp,11:4:21.6799,-8:1019:28.028,18.73,center,,,2023-11-23 08:38:24.000,Gaia23diq,WISEA J110421.68-085927.9,,,166.090333,-8.991119,G,166.09033,-8.99111,--
AT2023yin,22:32:6.0811,+13:20:6.158,18.371,not_center,,,2023-11-23 07:14:04.416,ATLAS23wdt,WISEA J223206.23+132008.8,,,338.025338,13.335044,orange,338.02596,13.33581,--
AT2023yjo,23:4:28.29,+6:20:8.3,17.56,center,,,2023-11-22 19:29:16.800,Gaia23dio,[HB89] 2301+060,,,346.117875,6.335639,G,346.11788,6.33564,1.268
AT2023yjn,0:40:30.7301,-7:884:52.98,18.72,not_center,,,2023-11-22 17:16:48.000,Gaia23dil,WISEA J004030.74-074449.0,,,10.128042,-7.74805,G,10.12808,-7.7469,--
AT2023yji,23:12:43.41,+2:34:44.08,18.2,not_center,,,2023-11-22 05:38:24.000,Gaia23dic,WISEA J231243.45+023446.8,,,348.180875,2.578911,G,348.1811,2.57983,0.031252
AT2023yjl,21:1:47.07,+17:17:29.0,18.33,center,,,2023-11-22 00:10:04.800,Gaia23dig,GALEXASC J210147.02+171729.5,,,315.446125,17.291389,G,315.44595,17.29154,--
AT2023yjk,23:35:20.4101,-1:151:9.548,17.14,center,,,2023-11-21 23:31:12.000,Gaia23dif,[HB89] 2332-017,,,353.835042,-1.519319,G,353.83505,-1.51933,1.18904
AT2023yje,19:28:30.39,+22:0:15.98,18.1,not_center,,,2023-11-21 06:28:48.000,Gaia23dht,2MASS J19283067+2200177,,,292.126625,22.004439,G,292.12779,22.00492,--
AT2023yjd,20:38:47.94,+16:16:51.56,18.33,center,,,2023-11-21 06:12:57.600,Gaia23dhs,WISEA J203847.94+161651.5,,,309.69975,16.280989,G,309.69979,16.28096,--
AT2023xrj,14:0:43.9099,+19:6:46.94,18.1525,not_center,,,2023-11-13 13:03:39.001,"ZTF23abqwepf, Gaia23did",WISEA J140043.87+190650.0,,,210.182958,19.113039,r,210.18276,19.1138,0.03697
AT2023xoc,2:11:7.23,-18:2215:20.348,18.494,center,,,2023-11-11 21:36:32.832,"ATLAS23vlc, PS23ktb, Gaia23dim",2MASX J02110731-1855202,,,32.780125,-18.922319,cyan,32.7805,-18.92228,--
AT2023wmd,22:36:7.9999,+1:39:4.36,18.41,center,,,2023-11-01 05:52:35.040,"PS23kff, ATLAS23uyq, Gaia23dhv",WINGS J223608.06+013904.0,,,339.033333,1.651211,w,339.03362,1.65097,--
AT2023wmh,9:59:28.68,-8:968:13.988,18.79,center,,,2023-10-31 12:15:50.400,"ZTF23abonhbg, Gaia23dhw",WISEA J095928.67-080813.9,,,149.8695,-8.137219,g,149.86955,-8.13715,--
AT2023vxs,21:10:11.4199,+17:40:32.84,15.83,not_center,0.0,CV,2023-10-28 03:11:31.200,"ZTF23abnpdod, ATLAS23ury, Gaia23dhz",WISEA J211011.34+174037.8,,,317.547583,17.675789,g,317.54717,17.67717,--
